Rank,Player,Wins,Losses,yElo
33,Elina Svitolina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaSvitolina),6,4,1792.8
34,Katerina Siniakova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KaterinaSiniakova),7,4,1785.2
35,Alycia Parks (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AlyciaParks),9,6,1783.5
36,Maya Joint (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MayaJoint),13,6,1779.1
37,Sorana Cirstea (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SoranaCirstea),6,6,1778.3
38,Daria Kasatkina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaKasatkina),8,6,1771.3
39,Greet Minnen (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=GreetMinnen),10,6,1769.3
40,Aoi Ito (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AoiIto),9,5,1767.7
41,Jasmine Paolini (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JasminePaolini),6,4,1761.1
42,Antonia Ruzic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AntoniaRuzic),8,3,1758.8
43,Yulia Putintseva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YuliaPutintseva),7,6,1758.8
44,Liudmila Samsonova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LiudmilaSamsonova),6,5,1757.7
45,Marketa Vondrousova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarketaVondrousova),4,3,1757.5
46,Anna Blinkova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaBlinkova),8,6,1757.1
47,Ann Li (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnLi),7,4,1751.7
48,Peyton Stearns (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PeytonStearns),7,7,1750.6
49,Destanee Aiava (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DestaneeAiava),11,4,1740.7
50,Aliaksandra Sasnovich (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AliaksandraSasnovich),8,5,1736.4
51,Petra Martic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PetraMartic),9,5,1735.5
52,Sijia Wei (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SijiaWei),11,4,1729.8
53,Marie Bouzkova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarieBouzkova),5,3,1723.4
54,Rebecca Sramkova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RebeccaSramkova),6,8,1723.3
55,Marta Kostyuk (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MartaKostyuk),6,6,1723.2
56,Polina Kudermetova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PolinaKudermetova),11,6,1716.9
57,Moyuka Uchijima (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MoyukaUchijima),7,9,1715.5
58,Cristina Bucsa (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CristinaBucsa),9,8,1709
59,Camila Osorio (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CamilaOsorio),4,3,1705.9
60,Olga Danilovic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OlgaDanilovic),4,3,1705.4
61,Ella Seidel (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EllaSeidel),11,7,1701.5
62,Wakana Sonobe (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=WakanaSonobe),3,1,1701.2
63,Elena Gabriela Ruse (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaGabrielaRuse),6,3,1700
64,Mananchaya Sawangkaew (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MananchayaSawangkaew),11,5,1699.4
65,Eva Lys (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EvaLys),7,5,1699.2
66,Katie Volynets (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KatieVolynets),7,6,1695
67,Ajla Tomljanovic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AjlaTomljanovic),4,4,1694
68,Diana Shnaider (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DianaShnaider),5,6,1693.3
69,Sinja Kraus (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SinjaKraus),10,4,1691.4
70,Leolia Jeanjean (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeoliaJeanjean),10,4,1690.6
71,Magda Linette (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdaLinette),5,6,1690.5
72,Sara Sorribes Tormo (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SaraSorribesTormo),7,3,1683.1
73,Gabriela Andrea Knutson (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=GabrielaAndreaKnutson),9,3,1680
74,Suzan Lamens (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SuzanLamens),9,7,1679
75,Carson Branstine (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CarsonBranstine),4,1,1676.3
76,Priscilla Hon (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PriscillaHon),13,4,1674.6
77,Anna Lena Friedsam (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaLenaFriedsam),9,3,1673.3
78,Katie Boulter (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KatieBoulter),3,2,1669.9
79,Caroline Dolehide (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CarolineDolehide),4,4,1662.6
80,Nina Stojanovic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NinaStojanovic),4,2,1659.4
81,Oksana Selekhmeteva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OksanaSelekhmeteva),8,3,1658.4
82,Francesca Jones (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=FrancescaJones),8,3,1656.1
83,Robin Montgomery (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RobinMontgomery),4,2,1654.9
84,Clervie Ngounoue (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ClervieNgounoue),5,1,1652.7
85,Sohyun Park (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SohyunPark),5,0,1651.1
86,Laura Siegemund (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LauraSiegemund),5,6,1649.6
87,Lucia Bronzetti (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LuciaBronzetti),5,7,1647.2
88,Emma Raducanu (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaRaducanu),3,5,1643.7
89,Daria Saville (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaSaville),6,8,1643.6
90,Anhelina Kalinina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnhelinaKalinina),6,7,1640.9
91,Simona Waltert (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SimonaWaltert),9,4,1639.7
92,Maddison Inglis (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MaddisonInglis),11,5,1637.2
93,Viktoriya Tomova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ViktoriyaTomova),3,5,1631.7
94,Celine Naef (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CelineNaef),7,4,1630.9
95,Anna Kalinskaya (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaKalinskaya),3,3,1630.4
96,Xin Yu Wang (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=XinYuWang),5,6,1625.4
97,Rebecca Marino (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RebeccaMarino),5,5,1624.3
98,Ena Shibahara (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EnaShibahara),5,4,1623.9
99,Maaya Rajeshwaran Revathi (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MaayaRajeshwaranRevathi),6,1,1623.3
100,Victoria Mboko (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VictoriaMboko),5,1,1616.5
101,Tatjana Maria (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TatjanaMaria),5,5,1615.3
102,Renata Zarazua (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RenataZarazua),5,8,1612.9
103,Hanne Vandewinkel (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HanneVandewinkel),8,3,1610.7
104,Anca Alexia Todoni (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AncaAlexiaTodoni),7,5,1609.7
105,Manon Leonard (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ManonLeonard),11,4,1609.1
106,Jana Fett (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JanaFett),3,2,1601.6
107,Sachia Vickery (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SachiaVickery),4,3,1601
108,Varvara Gracheva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VarvaraGracheva),3,5,1600.3
109,Viktorija Golubic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ViktorijaGolubic),6,5,1600.2
110,Nuria Parrizas Diaz (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NuriaParrizasDiaz),6,5,1598.6
111,Magdalena Frech (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdalenaFrech),3,7,1598.2
112,Donna Vekic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DonnaVekic),3,7,1595.1
113,Panna Udvardy (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PannaUdvardy),8,3,1593
114,Tyra Caterina Grant (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TyraCaterinaGrant),4,2,1586.9
115,Jaqueline Cristian (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JaquelineCristian),3,6,1586.7
116,Lanlana Tararudee (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LanlanaTararudee),4,3,1586.2
117,Alexandra Eala (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AlexandraEala),10,5,1585.2
118,Jodie Burrage (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JodieBurrage),5,7,1584.7
119,Kyoka Okamura (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KyokaOkamura),3,1,1582.4
120,Astra Sharma (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AstraSharma),7,5,1582
121,Dominika Salkova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DominikaSalkova),3,4,1579
122,Ana Bogdan (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnaBogdan),3,2,1577.3
123,Tiantsoa Sarah Rakotomanga Rajaonah (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TiantsoaSarahRakotomangaRajaonah),4,2,1576.2
124,Tereza Valentova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TerezaValentova),5,2,1576
125,Xinyu Gao (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=XinyuGao),10,5,1575.5
126,Harmony Tan (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HarmonyTan),5,2,1574
127,Zeynep Sonmez (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ZeynepSonmez),5,7,1572.8
128,Marina Stakusic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarinaStakusic),5,4,1570
129,Linda Klimovicova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaKlimovicova),7,3,1569.8
130,Sonay Kartal (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SonayKartal),3,3,1569.7
131,Arina Rodionova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ArinaRodionova),6,4,1568.4
132,Julia Avdeeva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JuliaAvdeeva),4,3,1567.5
133,Jessica Bouzas Maneiro (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaBouzasManeiro),3,6,1566
134,Daria Snigur (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaSnigur),7,5,1564.6
135,Emerson Jones (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmersonJones),5,5,1563.3
136,Julia Riera (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JuliaRiera),3,2,1561.6
137,Veronika Erjavec (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VeronikaErjavec),5,5,1560.3
138,Maja Chwalinska (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MajaChwalinska),5,3,1559.6
139,Yuriko Miyazaki (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YurikoMiyazaki),10,5,1552.3
140,Elsa Jacquemot (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElsaJacquemot),14,6,1550.2
141,Justina Mikulskyte (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JustinaMikulskyte),6,3,1548.4
142,Elena Pridankina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaPridankina),8,6,1547.4
143,Solana Sierra (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SolanaSierra),8,5,1545.2
144,Taylah Preston (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TaylahPreston),9,5,1544.1
145,Anastasia Zakharova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaZakharova),6,7,1540.1
146,Leonie Kung (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeonieKung),5,6,1538.5
147,Xiyu Wang (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=XiyuWang),3,4,1538.3
148,Maria Timofeeva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MariaTimofeeva),4,5,1538.1
149,Yue Yuan (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YueYuan),3,7,1535.9
150,Sara Saito (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SaraSaito),5,4,1535.3
151,Hanna Chang (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HannaChang),4,5,1533.7
152,Anna Bondar (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaBondar),5,7,1533.3
153,Eva Vedder (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EvaVedder),3,2,1531.9
154,Kaja Juvan (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KajaJuvan),3,2,1531.3
155,Emina Bektas (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EminaBektas),4,4,1530.6
156,Victoria Jimenez Kasintseva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VictoriaJimenezKasintseva),5,4,1530.3
157,Leyre Romero Gormaz (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeyreRomeroGormaz),6,6,1525
158,Varvara Lepchenko (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VarvaraLepchenko),4,3,1524.3
159,Hailey Baptiste (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HaileyBaptiste),3,4,1524
160,Wushuang Zheng (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=WushuangZheng),6,4,1523.9
161,Harriet Dart (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HarrietDart),3,4,1522.7
162,Lizette Cabrera (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LizetteCabrera),3,4,1520
163,Sara Bejlek (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SaraBejlek),4,5,1517.2
164,Erika Andreeva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ErikaAndreeva),3,6,1515.6
165,Kathinka Von Deichmann (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KathinkaVonDeichmann),6,4,1515.4
166,Nao Hibino (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NaoHibino),7,6,1513.2
167,Andrea Lazaro Garcia (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AndreaLazaroGarcia),6,4,1512.7
168,Xinxin Yao (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=XinxinYao),6,4,1511.8
169,Claire Liu (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ClaireLiu),5,3,1509.6
170,Mariam Bolkvadze (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MariamBolkvadze),4,4,1508.4
171,Bernarda Pera (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BernardaPera),3,6,1507.9
172,Tamara Korpatsch (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TamaraKorpatsch),4,5,1507.3
173,Urszula Radwanska (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=UrszulaRadwanska),4,3,1504.2
174,Petra Marcinko (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PetraMarcinko),4,2,1504.1
175,Maria Lourdes Carle (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MariaLourdesCarle),4,5,1502.2
176,Aleksandra Krunic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AleksandraKrunic),4,2,1500.8
177,Iryna Shymanovich (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=IrynaShymanovich),4,5,1500.6
178,Anastasiia Gureva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiiaGureva),3,2,1496.2
179,Viktoria Hruncakova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ViktoriaHruncakova),4,3,1494.6
180,Tina Nadine Smith (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TinaNadineSmith),6,6,1494.2
181,Mariia Tkacheva (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MariiaTkacheva),6,4,1493.7
182,Karina Miller (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KarinaMiller),3,2,1493.1
183,Sayaka Ishii (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SayakaIshii),6,6,1492.2
184,Carole Monnet (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CaroleMonnet),3,3,1481.9
185,Selena Janicijevic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SelenaJanicijevic),5,5,1479.6
186,Tamara Zidansek (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TamaraZidansek),3,4,1478.1
187,Hong Yi Cody Wong (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HongYiCodyWong),3,3,1475.4
188,Mai Hontama (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MaiHontama),3,6,1475
189,Shrivalli Rashmikaa Bhamidipaty (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ShrivalliRashmikaaBhamidipaty),4,4,1474.9
190,Lea Boskovic (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeaBoskovic),3,3,1473.7
191,Hanyu Guo (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HanyuGuo),3,4,1466.5
192,Lucrezia Stefanini (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LucreziaStefanini),9,7,1463.8
193,Ipek Oz (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=IpekOz),5,5,1455.8
194,Margaux Rouvroy (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MargauxRouvroy),4,5,1454.8
195,Anna Karolina Schmiedlova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaKarolinaSchmiedlova),3,5,1451.5
196,Laura Pigossi (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LauraPigossi),3,5,1449.6
197,Maria Golovina (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MariaGolovina),3,2,1449
198,Lucija Ciric Bagaric (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LucijaCiricBagaric),3,4,1445.5
199,Amandine Hesse (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AmandineHesse),4,4,1445.2
200,Matilde Paoletti (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MatildePaoletti),3,3,1439.1
201,Susan Bandecchi (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SusanBandecchi),3,7,1438.5
202,Renata Jamrichova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RenataJamrichova),4,5,1437.8
203,Mei Yamaguchi (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MeiYamaguchi),7,6,1432.1
204,Anouk Koevermans (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnoukKoevermans),4,6,1427.7
205,Rasheeda Mcadoo (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RasheedaMcadoo),3,3,1423.1
206,Barbora Palicova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BarboraPalicova),4,6,1422.9
207,Matilde Jorge (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MatildeJorge),3,3,1419.2
208,Linda Fruhvirtova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaFruhvirtova),3,5,1414.5
209,Vaidehi Chaudhari (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VaidehiChaudhari),3,4,1412.2
210,Raluka Serban (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RalukaSerban),4,7,1407.4
211,Maria Mateas (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MariaMateas),5,5,1407.3
212,Su Jeong Jang (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SuJeongJang),3,4,1405.5
213,Daria Kudashova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaKudashova),3,5,1401.3
214,Tessah Andrianjafitrimo (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TessahAndrianjafitrimo),3,4,1400.8
215,Alevtina Ibragimova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AlevtinaIbragimova),3,4,1392.6
216,Sahaja Yamalapalli (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SahajaYamalapalli),5,5,1391.3
217,Darja Semenistaja (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DarjaSemenistaja),3,6,1376.9
218,Anastasia Tikhonova (https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaTikhonova),3,5,1335.1
